participant_id,displayCondition,socialCondition,dimensionOrder,displayOrder,experiment_phase,response,rankOrder,orderedRanks
5,integrated,superior,"Speed,Role,Craft,Direction,Status","1,2,3,4,0",verbal_report_textbox_phase2,"I was looking for the combination of factors. For example, if he was undamaged, went fast and was autonomous, I considered it friendly. Being an airplane or submarine; or the direction didn’t affect my decision. Therefore, of the other variables, if there were more positive factors, I considare it friendly, otherwise I considered it hostile.","Status,Role,Speed,Craft,Direction","1,2,3,4,5"
5,integrated,superior,"Speed,Role,Craft,Direction,Status","1,2,3,4,0",verbal_report_textbox_phase3,"As I couldn’t see if it was damaged, I was guided by the speed and if it was autonomous.","Role,Speed,Direction,Craft,Status","1,2,3,4,5"
6,integrated,superior,"Speed,Status,Direction,Role,Craft","1,2,4,3,0",verbal_report_textbox_phase2,I supposed decoy damaged submarine should be hostile and tested my ipothesis on the first part of the study in order to know if i was correct. It was a trial and error kind of study and i think i got it right.,"Role,Craft,Status,Speed,Direction","1,2,3,4,5"
6,integrated,superior,"Speed,Status,Direction,Role,Craft","1,2,4,3,0",verbal_report_textbox_phase3,Without the direction i focused my attention on the other features i had available and in particular I established that the hostiles were the decoy damaged crafts of the submarine typ moving at low speed,"Role,Craft,Status,Speed,Direction","1,2,3,4,5"
7,integrated,superior,"Speed,Craft,Role,Status,Direction","4,1,2,3,0",verbal_report_textbox_phase2,"To decide first I watched the speed, 60 means it is going fast so it is not friendly, then when i saw 20 i look at decoy state and if it is i mark as enemy. Last thing is the color red also means enemy.","Craft,Direction,Role,Status,Speed","2,2,4,4,5"
7,integrated,superior,"Speed,Craft,Role,Status,Direction","4,1,2,3,0",verbal_report_textbox_phase3,"Now I only saw the color and the speed, speed at 60 is an enemy, when 20 if I saw green I marked as friend and if I saw red I marked as enemy.","Role,Craft,Direction,Status,Speed","1,2,2,5,5"
8,integrated,superior,"Status,Speed,Craft,Role,Direction","4,1,2,0,3",verbal_report_textbox_phase2,In the practice I saw that the best way to decide wether a craft was friendly or not was to see if it was friendly or hostile,"Craft,Direction,Role,Speed,Status","1,1,2,2,5"
8,integrated,superior,"Status,Speed,Craft,Role,Direction","4,1,2,0,3",verbal_report_textbox_phase3,"(Sorry, in the previous verbal response I thought that 5 was the mark to assign to the most important element, not the least)\nI think that a fast autonomous system is friendly. But also a slower one but autonomous. Sometimes a fast one but not autonomous could be a good match","Role,Speed,Craft,Status,Direction","1,2,5,5,5"
9,integrated,superior,"Role,Speed,Status,Direction,Craft","4,2,0,1,3",verbal_report_textbox_phase2,I was making decisions based on the first phase where I learned which crafts are mostly hostile and friendly.\nI also decided to look at speed and direction.\nDamaged and undamaged factor was important for me too. I was more likely do calsify damaged ones as friendly.\nI also looked at speed.,"Craft,Speed,Role,Status,Direction","2,3,4,4,5"
9,integrated,superior,"Role,Speed,Status,Direction,Craft","4,2,0,1,3",verbal_report_textbox_phase3,I was mainly looking at speed of craft and if its damaged or not.\nI felt like not damaged craft with high speed is most likely to be hostile than damaged one.\nIts really hard to tell sometimes after all trials.,"Direction,Craft,Role,Status,Speed","1,4,4,5,5"
10,integrated,superior,"Direction,Role,Speed,Craft,Status","2,4,0,1,3",verbal_report_textbox_phase2,I tried to remember which combination was wrong or correct in the first part.,"Direction,Craft,Speed,Status,Role","1,2,3,4,5"
10,integrated,superior,"Direction,Role,Speed,Craft,Status","2,4,0,1,3",verbal_report_textbox_phase3,I connected some combination to wrong and correct and tried to simplify by looking only that. I'm not sure about it because I didn't memorize the first part well enough.,"Speed,Craft,Role,Status,Direction","1,2,3,5,5"
11,separated,superior,"Craft,Direction,Status,Role,Speed","1,3,0,4,2",verbal_report_textbox_phase2,i looked is it damaged and how fast and left or right,"Craft,Role,Direction,Speed,Status","1,1,3,4,5"
11,separated,superior,"Craft,Direction,Status,Role,Speed","1,3,0,4,2",verbal_report_textbox_phase3,"Damaged, fast","Craft,Role,Speed,Direction,Status","1,2,3,3,5"
12,separated,superior,"Direction,Craft,Speed,Role,Status","2,3,4,0,1",verbal_report_textbox_phase2,"damage was the most important factor determining for me if it was friendly or not, the speed a bit, generally speedy directions semm more suspiscius, and decoy are more suspiscius as well, air direction didn't pay much atention to, didnt seem to make any diference","Direction,Role,Speed,Craft,Status","1,3,4,5,5"
12,separated,superior,"Direction,Craft,Speed,Role,Status","2,3,4,0,1",verbal_report_textbox_phase3,"my notion of classifying is disapearing I am losing some of the references that I gained from the training, I am basing my self on the speed of each craft, air plain goin fast and submarine going slow and no damage for friendly and reverse speeds and damaged for enemy","Role,Direction,Speed,Craft,Status","1,1,3,4,5"
13,separated,superior,"Direction,Status,Speed,Craft,Role","0,3,4,1,2",verbal_report_textbox_phase2,"If the speed was slow, it was probably hostile","Speed,Status,Role,Direction,Craft","1,2,3,4,5"
13,separated,superior,"Direction,Status,Speed,Craft,Role","0,3,4,1,2",verbal_report_textbox_phase3,looked if it was a decoy and if it was dammaged ,"Role,Direction,Status,Craft,Speed","1,2,3,4,5"
14,separated,superior,"Status,Speed,Role,Direction,Craft","1,3,0,2,4",verbal_report_textbox_phase2,i was looking at if it was a submarine or a airplane and if it was a damadged airplane or submarine i though it was hostile as it makes out it has been attacked,"Craft,Role,Status,Speed,Direction","1,1,1,3,3"
14,separated,superior,"Status,Speed,Role,Direction,Craft","1,3,0,2,4",verbal_report_textbox_phase3,i looked at the speed the craft was travelling. and i looked at if it was damadged or not as a undamadged craft with a speed of 60 made me feel like it was a threat,"Status,Speed,Role,Craft,Direction","1,1,2,3,5"
15,separated,superior,"Craft,Direction,Role,Status,Speed","2,4,0,3,1",verbal_report_textbox_phase2,First i've analyzed if it was a plane or a sub. Then speed and autonomous/decoy.\nI think a friendly decoy should be speedy and a enemy decoy should be slow (about subs). Different story with airplanes because i think friendly autonomous is both speedy and slow so i've analyzed the damage.\nSo about subs: 1-speed 2-damage/undamaged 3-decoy or auto 4- direction\nAbout airplanes: 1-decoy or auto 2-damage 3-speed,"Direction,Status,Craft,Role,Speed","1,3,4,4,5"
15,separated,superior,"Craft,Direction,Role,Status,Speed","2,4,0,3,1",verbal_report_textbox_phase3,Without informations about planes/subs i think speed/damage and decoy was the best indication to see if friendly or enemy. I don't see a big correlation about directions but maybe i'm wrong,"Craft,Direction,Role,Status,Speed","1,2,4,5,5"
16,separated,superior,"Status,Speed,Direction,Role,Craft","4,3,0,1,2",verbal_report_textbox_phase2,"Based on the information I seemed to gather from the training in the beginning, I decided to go with the direction to the right meaning a good craft and the direction to the left meaning a hostile craft and disregard everything else, because this is what had worked for me rather than any other logic I tried to gather. I didn't have time to gather anything else, even if my logic is wrong, so I had to go with what worked.\n\nSomewhere along this very important job the captain trusted me with, I suddenly had doubts if it really was right or left that I decided to go with in the beginning, but proceeded with the direction logic anyways. I was doubtful to the end. \n\n(Don't tell my boss, I am so going to be fired.)","Role,Speed,Craft,Status,Direction","1,2,3,4,5"
16,separated,superior,"Status,Speed,Direction,Role,Craft","4,3,0,1,2",verbal_report_textbox_phase3,"Since I based everything on the directions and I didn't have that information anymore, I picked one of the other ones to base my choices on. \n\nAt first I thought I could use green health = good and red health = bad, but decided against it, because I didn't have any memories of it being a factor in the very beginning.\n\nI instead went for the \""""aircraft good, submarine bad\"""" rule that I made up, because the submarines were pointed towards me / coming straight at me, so I did not trust those guys. The aircrafts on the other hand seemed to face away from me, minding their own business.\n","Craft,Status,Speed,Role,Direction","1,2,3,4,5"
17,separated,superior,"Craft,Role,Direction,Status,Speed","0,1,2,4,3",verbal_report_textbox_phase2,I honestly had no idea - had the exercise not been timed and I'd had a bit more time to think and spot a pattern I might have had a better idea. ,"Direction,Craft,Status,Speed,Role","1,2,3,4,5"
17,separated,superior,"Craft,Role,Direction,Status,Speed","0,1,2,4,3",verbal_report_textbox_phase3,I had no idea. I guessed. Then I saw the time for the task had already expired so I just tried to get through it as there hasn't been enough time to complete it properly.,"Craft,Direction,Status,Role,Speed","1,2,3,4,5"
18,separated,superior,"Speed,Direction,Craft,Role,Status","0,2,1,3,4",verbal_report_textbox_phase2,I was thinking about direction and speed mostly,"Speed,Status,Role,Direction,Craft","1,2,3,4,5"
18,separated,superior,"Speed,Direction,Craft,Role,Status","0,2,1,3,4",verbal_report_textbox_phase3,"As I said, I focus on speed mostly","Speed,Role,Craft,Status,Direction","1,2,3,4,5"
19,separated,superior,"Role,Speed,Craft,Direction,Status","4,0,3,1,2",verbal_report_textbox_phase2,"Depending by the craft, airplane or submarine, the role can be either like the direction, but the important thing here is the speed aos status. ","Craft,Status,Speed,Role,Direction","1,2,3,4,5"
19,separated,superior,"Role,Speed,Craft,Direction,Status","4,0,3,1,2",verbal_report_textbox_phase3,In the case just from the craft and role.,"Craft,Direction,Role,Speed,Status","1,2,3,4,5"
20,separated,superior,"Status,Craft,Direction,Role,Speed","0,3,1,4,2",verbal_report_textbox_phase2,"In the trials when given the answers, I was unable to learn the importance of direction, craft, or hostility.\n\nI focused on speed and decoy/autonomous. \n\nI saw a correlation between speed and hostility, and focused on that when choosing my answer. ","Speed,Role,Status,Craft,Direction","1,2,3,4,5"
20,separated,superior,"Status,Craft,Direction,Role,Speed","0,3,1,4,2",verbal_report_textbox_phase3,I stuck to my guns and made my decisions based on speed. \n\nI haven't learned anything to alter how I base my decisions.,"Speed,Role,Craft,Status,Direction","1,2,3,4,5"
21,separated,superior,"Status,Direction,Speed,Role,Craft","0,2,1,3,4",verbal_report_textbox_phase2,"I amalgamated mainly the 3 criteria of speed, whether or not it was a drone and then damage, it seemed more consistent that damage, drone and slow speed wasn't a threat and that the same was true of undamaged, but that faster craft were more of a hostile prescenece. ","Speed,Role,Status,Craft,Direction","1,2,3,4,5"
21,separated,superior,"Status,Direction,Speed,Role,Craft","0,2,1,3,4",verbal_report_textbox_phase3,"I first analysed the speed and linked this to the damage, then finally pairing this with the type of craft, gave me an indication as to whether ot not it was friendly, slow and drone damanged or not most likely to be friendly, anything else fast speed was likely hostile.","Speed,Status,Role,Craft,Direction","1,2,3,4,5"
22,separated,operator,"Role,Direction,Speed,Craft,Status","3,2,1,4,0",verbal_report_textbox_phase2,"I mostly paid attention to the speed, as I noticed hostile were usually slower. Then I looked at damage ","Speed,Status,Role,Craft,Direction","1,2,3,4,5"
22,separated,operator,"Role,Direction,Speed,Craft,Status","3,2,1,4,0",verbal_report_textbox_phase3,"This time I was relying on the type of craft and assigned hostile to submarines, but I wasn't sure if I made the right observation during practice","Speed,Craft,Status,Role,Direction","1,2,3,4,5"
23,separated,operator,"Speed,Direction,Craft,Status,Role","1,3,4,2,0",verbal_report_textbox_phase2,"Hostile if damaged, was going at a fast pace. Friendly if undamaged, slow pace.\n","Status,Craft,Speed,Role,Direction","1,2,3,4,5"
23,separated,operator,"Speed,Direction,Craft,Status,Role","1,3,4,2,0",verbal_report_textbox_phase3,The speed it was going at and whether it was going underwater or in the sky.,"Speed,Craft,Role,Direction,Status","1,2,3,4,5"
24,separated,operator,"Direction,Role,Craft,Status,Speed","3,0,1,2,4",verbal_report_textbox_phase2,"If the speed was slow and it was undamaged, it was friendly\nif it was damaged airplane it was hostile. Damaged and fast submarine was hostile \n","Status,Speed,Craft,Role,Direction","1,2,3,4,5"
24,separated,operator,"Direction,Role,Craft,Status,Speed","3,0,1,2,4",verbal_report_textbox_phase3,If it was moving fast and to the left it was hostile.\nright and fast it was friendly\nslow it was friendly\n,"Speed,Direction,Craft,Role,Status","1,2,3,4,5"
25,separated,operator,"Role,Craft,Status,Direction,Speed","1,4,3,2,0",verbal_report_textbox_phase2,Boat + slow + auto = hostile\nBoat + fast + auto = friendly\nPlane + slow = hostile\nPlane + decoy = hostile,"Craft,Role,Speed,Status,Direction","1,2,3,4,5"
25,separated,operator,"Role,Craft,Status,Direction,Speed","1,4,3,2,0",verbal_report_textbox_phase3,Plane + slow = hostile\nPlane + fast + red = hostile\nBoat + fast + green = friendly\nBoat + fast + red = hostile\n\nI couldn't establish a pattern with direction!,"Craft,Speed,Role,Status,Direction","1,2,3,4,5"
26,separated,superior,"Direction,Role,Craft,Speed,Status","4,1,2,3,0",verbal_report_textbox_phase2,"the first thing i looked out for was whether it was damaged or undamaged, that was usually a major pointer. Almost all damaged vessels were friendly and the reverse was the case for undamaged vessels. Then i looked for what kind of vessel it was and its speed. For example, A fast good ship that was autonomous was hostile.","Status,Role,Craft,Speed,Direction","1,2,3,4,5"
26,separated,superior,"Direction,Role,Craft,Speed,Status","4,1,2,3,0",verbal_report_textbox_phase3,"I noted the type of vessel. Then, i checked if it was fast or slow. Then i  checked if it was a decoy or autonomous. A fast autonomous(V) plane was a friendly, while a fast decoy(<<<) plane was hostile. ","Craft,Role,Speed,Status,Direction","1,2,3,4,5"
27,separated,operator,"Craft,Direction,Status,Role,Speed","2,3,1,4,0",verbal_report_textbox_phase2,"Through a generalization, I understood that most airplanes were friendly and most submarines were hostile. Additionally, the friendly crafts were, for the most part, less damaged than the hostiles. I was able to memorize some of the exceptions where this was not the case, but for the most part, I followed the generalization I made through my observations. I didn't place much importance on speed and orientation data, because these are things that can easily change in the course of the action (as opposed to craft type).","Speed,Direction,Role,Status,Craft","1,1,2,4,5"
27,separated,operator,"Craft,Direction,Status,Role,Speed","2,3,1,4,0",verbal_report_textbox_phase3,"The friendly crafts were, for the most part, less damaged than the hostiles. So my generalization was made through these characteristics, without much certainty, however.","Craft,Speed,Direction,Role,Status","1,1,1,2,5"
28,separated,operator,"Craft,Direction,Status,Role,Speed","2,3,0,4,1",verbal_report_textbox_phase2,"I chose based on e.g. why the damaged plane flies so fast to the left, or why submarine is sailing to right very slow decoy\n\nOften decided what type it was","Direction,Status,Role,Craft,Speed","1,2,3,4,5"
28,separated,operator,"Craft,Direction,Status,Role,Speed","2,3,0,4,1",verbal_report_textbox_phase3,"i was watching what type is like decoy, next i was wathcing on speed and damage if something was damaged and it was decoy and diractoion was left i just think like something is going left damaged and very fast so it must be something dangarous","Role,Status,Speed,Direction,Craft","1,2,3,4,5"
29,separated,operator,"Direction,Status,Craft,Role,Speed","2,1,3,4,0",verbal_report_textbox_phase2,I checked the speed and damage in each scenario before making my decision,"Speed,Status,Role,Craft,Direction","1,2,3,4,5"
29,separated,operator,"Direction,Status,Craft,Role,Speed","2,1,3,4,0",verbal_report_textbox_phase3,i checked if its autonomous or a decoy. I also checked the speed,"Speed,Role,Craft,Direction","1,2,3,4"
30,separated,operator,"Craft,Speed,Direction,Role,Status","3,0,2,1,4",verbal_report_textbox_phase2,"I looked at what type of craft it was. If it was autonimous, it was more likely to be hostile. Next I looked at the speed and the damage status. Higher speed and undamaged is more likely to be hostile","Role,Speed,Status,Craft,Direction","1,2,3,4,5"
30,separated,operator,"Craft,Speed,Direction,Role,Status","3,0,2,1,4",verbal_report_textbox_phase3,"Firt i checked the type of craft, if it was autonimous it would be the most likely to be hostile. Next i looked at speed and health. the more speed and health the more likely it is hostile","Role,Status,Speed,Direction,Craft","1,2,3,4,5"
31,integrated,operator,"Direction,Speed,Craft,Role,Status","0,2,3,4,1",verbal_report_textbox_phase2,If it was going fast i considered it hostile,"Speed,Role,Status,Craft,Direction","1,2,3,4,5"
31,integrated,operator,"Direction,Speed,Craft,Role,Status","0,2,3,4,1",verbal_report_textbox_phase3,If it was fast it was hostile,"Speed,Role,Status,Craft,Direction","1,2,3,4,5"
32,integrated,operator,"Speed,Direction,Status,Role,Craft","1,3,2,0,4",verbal_report_textbox_phase2,speed and direction,"Status,Speed,Craft,Role,Direction","1,2,3,4,5"
32,integrated,operator,"Speed,Direction,Status,Role,Craft","1,3,2,0,4",verbal_report_textbox_phase3,"color of, and speed","Status,Role,Direction,Speed,Craft","1,2,3,4,5"
33,integrated,operator,"Craft,Status,Role,Direction,Speed","4,1,0,2,3",verbal_report_textbox_phase2,i'm not 100 percent sure but i though in the test phase that most friendly craft went in a certain direction compared to the hostile craft. I'm probably wrong but i based my decision of that primarily. ,"Direction,Speed,Craft,Role,Status","1,2,3,4,5"
33,integrated,operator,"Craft,Status,Role,Direction,Speed","4,1,0,2,3",verbal_report_textbox_phase3,"As the previous phase i used direction as i believe friendly crafts would all attack from the same direction, as would hostile crafts. So the fact i couldn't determine what type of craft it actually was had no affect on my choice.","Direction,Role,Speed,Status,Craft","1,2,3,4,5"
34,integrated,operator,"Role,Craft,Direction,Speed,Status","3,1,4,0,2",verbal_report_textbox_phase2,"If the craft was going fast and was damaged or undamaged it was of equal threat to me. I did not care for whether the craft was an airplane or submarine. But it did count whether or not the craft was a decoy, especially if the craft was undamaged and going slow. ","Speed,Role,Status,Craft,Direction","1,2,3,4,5"
34,integrated,operator,"Role,Craft,Direction,Speed,Status","3,1,4,0,2",verbal_report_textbox_phase3,"Since there was no info on whether the craft was anonymous or a decoy, I decided to rely on how fast the craft was going and also if the craft was damaged or undamaged. ","Speed,Status,Craft,Direction,Role","1,2,3,4,5"
35,integrated,operator,"Craft,Speed,Role,Direction,Status","2,4,0,3,1",verbal_report_textbox_phase2,"Whether it was going fast (for a sub) or slow (for an aircraft) - if it was going fast i was more likely to label it hostile. if a sub was going fast I would label it as hostile mostly and if an aircraft was going slow I might label that as hostile too because that might be slow for the type of craft.\nif it was damaged and still moving fast I would class it as hostile, likewise if it was damaged and slow I  might decide it was friendly. I also was more likely to name decoys as hostile because it seemed to me that they were less likely to be friendly if they weren't autonomous.","Direction,Craft,Status,Role,Speed","1,2,3,4,5"
35,integrated,operator,"Craft,Speed,Role,Direction,Status","2,4,0,3,1",verbal_report_textbox_phase3,"Because I couldn't tell whether it was an aircraft or sub, i mainly decided based on speed & damage. if it was moving fast and damaged, I was likely to mark it as hostile. if it was slow moving and undamaged, I would be more likely to name it friendly. I also was more likely to decide an autonomous was friendly, while a decoy I mainly decided was hostile. ","Craft,Direction,Role,Status,Speed","1,2,3,4,5"
36,integrated,operator,"Speed,Status,Role,Craft,Direction","1,2,4,3,0",verbal_report_textbox_phase2,"I noticed that eg. airplanes autonomous undamaged moving towards right are hostile (regardless of speed). Airplanes autonomous or decoy, damaged, both speeds and directions are friendly but submarines are hostile. Others combinations - I guessed.  ","Craft,Status,Role,Direction,Speed","1,2,3,4,5"
36,integrated,operator,"Speed,Status,Role,Craft,Direction","1,2,4,3,0",verbal_report_textbox_phase3,"I noticed that eg. airplanes autonomous undamaged moving towards right are hostile (regardless of speed). Airplanes autonomous or decoy, damaged, both speeds and directions are friendly but submarines are hostile. Others combinations - I guessed. ","Craft,Status,Role,Direction,Speed","1,2,3,4,5"
37,integrated,operator,"Direction,Role,Speed,Craft,Status","4,1,2,0,3",verbal_report_textbox_phase2,"I mostly analyzed the damage state and how fast they were travelling towards me, if it was a an autonomous damaged fast craft, I can see it being hostile while if it was moving slowly and damaged it would probably mean that it was looking for help. When decoys appeared I would be always suspicious but I was mostly looking for the speed and the damage state once more, cause I can see a damaged decoy moving slowly just to fake someone or the opposite moving fast but undamaged could either be friendly or not. That was most of my decision making process.","Direction,Craft,Role,Status,Speed","1,2,3,4,5"
37,integrated,operator,"Direction,Role,Speed,Craft,Status","4,1,2,0,3",verbal_report_textbox_phase3,"This time around since there was no speed indicator, I mostly used the damaged state and the direction based on what type of craft it was to determine my answer, the rest of the thought process was mostly trying to guess using only that limited information.","Speed,Role,Status,Craft,Direction","1,2,3,4,5"
38,integrated,operator,"Speed,Direction,Status,Craft,Role","4,1,0,3,2",verbal_report_textbox_phase2,i monitored the type of vehicle it was. I also monitored the speed and direction,"Role,Speed,Status,Craft,Direction","1,2,3,4,5"
38,integrated,operator,"Speed,Direction,Status,Craft,Role","4,1,0,3,2",verbal_report_textbox_phase3,the status was the first thing i monitored before others followed,"Status,Role,Direction,Craft","1,2,3,4"
39,integrated,operator,"Direction,Status,Role,Craft,Speed","0,4,1,2,3",verbal_report_textbox_phase2,most important thing for me was speed and direction,"Craft,Role,Status,Direction,Speed","3,3,3,4,5"
39,integrated,operator,"Direction,Status,Role,Craft,Speed","0,4,1,2,3",verbal_report_textbox_phase3,i realized a lot of things was important. before my every choice i was looking at dmg status twice,"Direction,Craft,Speed,Role,Status","3,4,4,5,5"
40,integrated,superior,"Craft,Speed,Status,Role,Direction","4,1,3,0,2",verbal_report_textbox_phase2,"In the training phase, it seemed completely to be dependant on whether the craft was an aeroplane or submarine, if I remember correctly all the submarines were hostile and all of the aeroplanes were friendly. This was the logic I used in the task.","Craft,Role,Status,Speed,Direction","1,5,5,5,5"
40,integrated,superior,"Craft,Speed,Status,Role,Direction","4,1,3,0,2",verbal_report_textbox_phase3,"Once the information as to whether it was an aeroplane or submarine was removed things became very confused as this was all I was using to determine the hostility of the craft, meaning I  was now mostly guessing. However, it seemed that the role changed position in the box (it was higher or lower), I thought that when the role was placed lower in the box this might mean that the craft was a submarine (enemy) and when the role was higher this might mean that the craft was an aeroplane (friendly). I am unsure as to whether there is any logic to this, probably not, to be honest, I was completely lost after the type of craft became hidden.","Role,Craft,Status,Speed,Direction","1,5,5,5,5"
41,integrated,superior,"Direction,Status,Role,Speed,Craft","4,2,0,1,3",verbal_report_textbox_phase2,"Generally focusing on direction and heading, and then on whether it was damaged or un damaged. If it was heading left, hostile, and right, friendly. generally was the rule with only a few differences/errors","Direction,Role,Speed,Status,Craft","1,2,2,3,4"
41,integrated,superior,"Direction,Status,Role,Speed,Craft","4,2,0,1,3",verbal_report_textbox_phase3,"I went off the damage report. if it was damaged, chances are it was friendly, and if undamaged, it was more than likely a hostile","Direction,Speed,Status,Craft,Role","1,2,3,4,5"
42,integrated,superior,"Craft,Speed,Status,Direction,Role","4,3,0,1,2",verbal_report_textbox_phase2,"I had more results, which specified, that friendly aircrafts are far more common than friendly submarines. ","Craft,Direction,Role,Status,Speed","1,2,3,3,4"
42,integrated,superior,"Craft,Speed,Status,Direction,Role","4,3,0,1,2",verbal_report_textbox_phase3,"I had much more difficulty in choosing, since I wasn't given the main factor of whether the craft is an airplane or a submarine.","Craft,Role,Status,Speed,Direction","1,3,3,3,3"
43,integrated,superior,"Role,Status,Craft,Speed,Direction","1,3,2,4,0",verbal_report_textbox_phase2,mainly based on the damage status,"Status,Speed,Craft,Role,Direction","1,2,3,3,5"
43,integrated,superior,"Role,Status,Craft,Speed,Direction","1,3,2,4,0",verbal_report_textbox_phase3,the rate of the speed helped me determine,"Status,Speed,Role,Craft,Direction","1,1,2,3,5"
44,integrated,superior,"Direction,Role,Speed,Craft,Status","1,0,3,2,4",verbal_report_textbox_phase2,I mainly looked at the speed and direction. I think faster speed crafts tend to be hostile especially if they are moving right.,"Speed,Craft,Direction,Status,Role","1,2,3,4,5"
44,integrated,superior,"Direction,Role,Speed,Craft,Status","1,0,3,2,4",verbal_report_textbox_phase3,Without speed indicator I was completely lost and I made my decision based mainly on the direction. I also considered the status of the craft.,"Direction,Status,Craft,Role,Speed","1,2,3,4,5"
45,integrated,superior,"Craft,Speed,Role,Direction,Status","2,3,0,4,1",verbal_report_textbox_phase2,"I thought that most aircrafts were friendly and most submarines were hostiles. I also thought that decoys were usually slightly more likely to be hostile than automated ones, and also that undamaged crafts were more likely to be friendly, but I was never really confident about any of these judgments.","Craft,Role,Speed,Status,Direction","1,2,3,4,5"
45,integrated,superior,"Craft,Speed,Role,Direction,Status","2,3,0,4,1",verbal_report_textbox_phase3,"I thought that faster, damaged and decoy crafts were more likely to be hostile. I also thought that crafts going to the left were more likely to be hostile, but I had little idea at this point.","Role,Speed,Status,Direction,Craft","1,2,3,4,5"
46,integrated,superior,"Direction,Craft,Speed,Role,Status","1,0,4,3,2",verbal_report_textbox_phase2,hostile: damaged and fast or only fast\nfriendly: undamaged and slow ,"Status,Speed,Craft,Role,Direction","1,1,3,4,5"
46,integrated,superior,"Direction,Craft,Speed,Role,Status","1,0,4,3,2",verbal_report_textbox_phase3,hostile: damaged and fast or only fast or damaged and slow\nfriendly: undamaged and slow \n,"Status,Speed,Role,Craft,Direction","1,1,3,5,5"
47,integrated,superior,"Status,Speed,Role,Craft,Direction","0,4,3,1,2",verbal_report_textbox_phase2,I chose the friendly units to be the fastest and not to be damaged,"Direction,Role,Status,Craft,Speed","2,3,4,5,5"
47,integrated,superior,"Status,Speed,Role,Craft,Direction","0,4,3,1,2",verbal_report_textbox_phase3,I chose the decoy units to be set to the left and the main ones to the right,"Role,Status,Craft,Speed,Direction","3,3,4,4,5"
48,integrated,superior,"Craft,Role,Speed,Status,Direction","0,3,4,1,2",verbal_report_textbox_phase2,I found that during phase one I couldn't quite find a pattern which was 100% accurate when I tried to focus on what made a craft friendly or hostile. However I did find that if it was a plane it was much more likely to be hostile and if it was a submarine then it was much more likely to be friendly so this is how I decided how to class them in the previous task.,"Craft,Status,Speed,Direction,Role","1,2,3,4,5"
48,integrated,superior,"Craft,Role,Speed,Status,Direction","0,3,4,1,2",verbal_report_textbox_phase3,In this task I found that what I was previously relying upon was no longer there (plane or submarine) so I soon decided that if I cannot know all the information then I simply have to treat each craft as a hostile as it is better to be safe than sorry. ,"Craft,Status,Speed,Direction,Role","1,2,3,4,5"
49,integrated,superior,"Direction,Craft,Role,Speed,Status","0,1,4,2,3",verbal_report_textbox_phase2,By reading the instructions and imagin the craft movement according to the information i was given.,"Role,Direction,Craft,Status,Speed","1,2,3,4,5"
